year,tau,n_in,n_out,area_frac,med_diff,cliffs_delta,iqr_ratio
Cafine_Cafal_2023,0.15,70,113,0.35970396337058974,24.656,-0.5719342604298356,1.8076923076923077
Cafine_Cafal_2023,0.16,70,113,0.35934427341154135,24.656,-0.5719342604298356,1.8076923076923077
Cafine_Cafal_2023,0.17,70,113,0.35871702719197124,24.656,-0.5719342604298356,1.8076923076923077
Cafine_Cafal_2023,0.18000000000000002,70,113,0.3577838970932924,24.656,-0.5719342604298356,1.8076923076923077
Cafine_Cafal_2023,0.19000000000000003,69,114,0.35636208985762763,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.20000000000000004,69,114,0.3544943555210935,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.21000000000000005,69,114,0.3522204958414534,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.22000000000000006,69,114,0.34968866180593844,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.23000000000000007,69,114,0.34698214227801677,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.24000000000000007,69,114,0.34422623908768474,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.2500000000000001,69,114,0.3413509306240621,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.2600000000000001,69,114,0.33850510494396796,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.27000000000000013,69,114,0.33552660673799534,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.28000000000000014,69,114,0.33225844018385464,25.637333333333334,-0.5898804983473176,1.8237179487179487
Cafine_Cafal_2023,0.29000000000000015,68,115,0.32837924294108456,26.496,-0.6089514066496163,1.952380952380953
Cafine_Cafal_2023,0.30000000000000016,68,115,0.32321754461482216,26.496,-0.6089514066496163,1.952380952380953
Cafine_Cafal_2023,0.31000000000000016,67,116,0.3162035904133781,25.637333333333334,-0.6148996397323726,2.024822695035461
Cafine_Cafal_2023,0.3200000000000002,67,116,0.3069268325761172,25.637333333333334,-0.6148996397323726,2.024822695035461
Cafine_Cafal_2023,0.3300000000000002,63,120,0.2952081631931034,27.354666666666663,-0.6585978835978836,2.2658730158730154
Cafine_Cafal_2023,0.3400000000000002,58,125,0.28115224614586315,27.72266666666667,-0.6755862068965517,2.547085201793722
Cafine_Cafal_2023,0.3500000000000002,55,128,0.26487332722056955,26.618666666666666,-0.6838068181818182,2.678947368421052
Cafine_Cafal_2023,0.3600000000000002,51,132,0.24709815703120164,26.864000000000004,-0.7167260843731432,3.2671232876712324
Cafine_Cafal_2023,0.3700000000000002,46,137,0.22824391696468846,26.61866666666667,-0.7340526816883529,3.811023622047244
Cafine_Cafal_2023,0.3800000000000002,45,138,0.20886783162971984,26.005333333333333,-0.7172302737520129,3.765151515151515
Cafine_Cafal_2023,0.39000000000000024,40,143,0.18889766820665072,25.146666666666665,-0.6979020979020979,4.735849056603772
Cafine_Cafal_2023,0.40000000000000024,37,146,0.16882284090205524,25.024,-0.7001110699740837,5.784090909090908
Cafine_Cafal_2023,0.41000000000000025,35,148,0.1492772295617974,25.023999999999997,-0.6986486486486486,5.711111111111112
Cafine_Cafal_2023,0.42000000000000026,31,152,0.13043109726075458,24.287999999999997,-0.691213921901528,5.5957446808510625
Cafine_Cafal_2023,0.43000000000000027,27,156,0.11301561703043508,23.797333333333327,-0.6937321937321937,5.479166666666668
Cafine_Cafal_2023,0.4400000000000003,23,160,0.09711997429101277,23.552,-0.7622282608695652,7.51388888888889
Cafine_Cafal_2023,0.4500000000000003,17,166,0.08291738039571792,23.67466666666667,-0.780297661233168,11.208333333333336
Cafine_Cafal_2023,0.4600000000000003,15,168,0.07043805519766733,23.67466666666667,-0.8634920634920635,11.354166666666668
Cafine_Cafal_2023,0.4700000000000003,14,169,0.05956111928439388,23.92,-0.8562975486052409,10.96
Cafine_Cafal_2023,0.4800000000000003,13,170,0.05045020210448109,24.165333333333333,-0.8714932126696833,11.458333333333334
Cafine_Cafal_2023,0.4900000000000003,11,172,0.043112674353811095,23.79733333333333,-0.8974630021141649,13.119047619047613
Cafine_Cafal_2023,0.5000000000000003,11,172,0.0372374926661576,23.79733333333333,-0.8974630021141649,13.119047619047613
