year,tau,n_in,n_out,area_frac,med_diff,cliffs_delta,iqr_ratio
Elalab_2024,0.15,28,71,0.31425740913103745,56.30400000000001,0.3083501006036217,0.7426303854875285
Elalab_2024,0.16,28,71,0.3095836345987145,56.30400000000001,0.3083501006036217,0.7426303854875285
Elalab_2024,0.17,28,71,0.3036195787211434,56.30400000000001,0.3083501006036217,0.7426303854875285
Elalab_2024,0.18000000000000002,26,73,0.2956581832998446,64.89066666666666,0.3672286617492097,0.8418577307466195
Elalab_2024,0.19000000000000003,25,74,0.2847966508610531,66.36266666666667,0.42,0.9803664921465968
Elalab_2024,0.20000000000000004,25,74,0.2720895766838571,66.36266666666667,0.42,0.9803664921465968
Elalab_2024,0.21000000000000005,25,74,0.25890314101616646,66.36266666666667,0.42,0.9803664921465968
Elalab_2024,0.22000000000000006,23,76,0.24637982207699344,77.28,0.4959954233409611,1.3265682656826572
Elalab_2024,0.23000000000000007,23,76,0.23534252375835388,77.28,0.4959954233409611,1.3265682656826572
Elalab_2024,0.24000000000000007,20,79,0.22555555999408788,78.752,0.5905063291139241,2.2851851851851857
Elalab_2024,0.2500000000000001,19,80,0.21737046254389153,80.83733333333333,0.6703947368421053,4.407051282051283
Elalab_2024,0.2600000000000001,19,80,0.2103158592754451,80.83733333333333,0.6703947368421053,4.407051282051283
Elalab_2024,0.27000000000000013,16,83,0.20497097865642963,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.28000000000000014,16,83,0.20067669863741497,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.29000000000000015,16,83,0.19755285959102475,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.30000000000000016,16,83,0.1953917382047113,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.31000000000000016,16,83,0.19375391977885456,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.3200000000000002,16,83,0.1924476597172566,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.3300000000000002,16,83,0.19144100058721783,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.3400000000000002,16,83,0.19065404880698908,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.3500000000000002,16,83,0.19002288951117113,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.3600000000000002,16,83,0.18922794837276746,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.3700000000000002,16,83,0.1884889327415882,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.3800000000000002,16,83,0.18769798628227202,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.39000000000000024,16,83,0.18679518880850707,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.40000000000000024,16,83,0.18558480104500805,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.41000000000000025,16,83,0.18420264208074844,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.42000000000000026,16,83,0.18253286622219203,83.65866666666668,0.8878012048192772,18.67532467532468
Elalab_2024,0.43000000000000027,15,84,0.18062740429747576,81.81866666666667,0.915079365079365,35.7
Elalab_2024,0.4400000000000003,14,85,0.1783184797849265,79.856,0.9285714285714286,37.57894736842106
Elalab_2024,0.4500000000000003,14,85,0.1753983693719965,79.856,0.9285714285714286,37.57894736842106
Elalab_2024,0.4600000000000003,14,85,0.17203484958035897,79.856,0.9285714285714286,37.57894736842106
Elalab_2024,0.4700000000000003,14,85,0.16826387252180097,79.856,0.9285714285714286,37.57894736842106
Elalab_2024,0.4800000000000003,12,87,0.16400953929366086,77.89333333333335,0.9003831417624522,43.17647058823531
Elalab_2024,0.4900000000000003,12,87,0.15930380732863825,77.89333333333335,0.9003831417624522,43.17647058823531
Elalab_2024,0.5000000000000003,11,88,0.15423855424574467,76.66666666666666,0.9111570247933884,45.718750000000014
